,S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,date
92,90,Liberty Energy Company Limited,256,311.00,294.00,299.00,30757.00,9188933.00,297.00,2.00,2021-04-01
93,91,Life Insurance Co. Nepal,93,2315.00,2260.00,2292.00,10680.00,24337710.00,2270.00,22.00,2021-04-01
94,92,Lumbini Bikas Bank Ltd.,533,275.00,252.00,263.00,145273.00,38097693.00,252.00,11.00,2021-04-01
95,93,Lumbini General Insurance Co. Ltd.,394,865.00,808.00,812.00,79932.00,65633226.00,824.00,-12.00,2021-04-01
96,94,Machhapuchhre Bank Limited,412,311.00,303.00,308.00,100525.00,30914790.00,305.00,3.00,2021-04-01
97,95,Mahalaxmi Bikas Bank Ltd.,255,279.00,271.00,277.00,48887.00,13503135.00,272.00,5.00,2021-04-01
98,96,Mahila Lagubitta Bittiya Sanstha Limited ,2,708.00,695.00,708.00,20.00,14030.00,662.00,46.00,2021-04-01
99,97,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,44,2308.00,2225.00,2227.00,1771.00,3973195.00,2276.00,-49.00,2021-04-01
100,98,Manjushree Finance Ltd.,103,495.00,486.00,487.00,21578.00,10549310.00,487.00,0.00,2021-04-01
101,99,Mega  Bank Nepal Ltd.,802,310.00,303.00,307.00,263290.00,80633119.00,306.00,1.00,2021-04-01
102,100,Mega  Bank Nepal Ltd. Promoter Share,2,130.00,130.00,130.00,3805.00,494650.00,132.00,-2.00,2021-04-01
103,Page 5/11 «First ‹Prev 12345678910Next›Last»,,,,,,,,,,2021-04-01
104,101,Mero Microfinance Bittiya Sanstha Ltd.,234,1480.00,1410.00,1433.00,21259.00,30578042.00,1459.00,-26.00,2021-04-01
105,102,Mirmire Microfinance Development Bank Ltd.,106,1620.00,1563.00,1569.00,10062.00,15987975.00,1590.00,-21.00,2021-04-01
106,103,Miteri Development Bank Limited,80,342.00,335.00,337.00,14423.00,4862708.00,338.00,-1.00,2021-04-01
107,104,Mithila LaghuBitta Bittiya Sanstha Limited,51,1730.00,1655.00,1655.00,2414.00,4054251.00,1697.00,-42.00,2021-04-01
108,105,Mountain Energy Nepal Limited,413,702.00,676.00,702.00,17953.00,12508596.00,689.00,13.00,2021-04-01
109,106,Mountain Hydro Nepal Limited,93,269.00,254.00,260.00,13275.00,3449365.00,264.00,-4.00,2021-04-01
110,107,Muktinath Bikas Bank Ltd.,510,413.00,403.00,408.00,68797.00,28122687.00,404.00,4.00,2021-04-01
111,108,Muktinath Bikas Bank Ltd. Promoter Share,1,220.00,220.00,220.00,25000.00,5500000.00,220.00,0.00,2021-04-01
112,109,Multipurpose Finance Company  Limited,35,188.00,183.00,185.00,11171.00,2070146.00,185.00,0.00,2021-04-01
113,110,NABIL BALANCED FUND-2,28,11.40,11.30,11.30,58300.00,662240.00,11.33,-0.03,2021-04-01
114,111,Nabil Bank Limited,911,1318.00,1280.00,1283.00,108284.00,139743752.00,1294.00,-11.00,2021-04-01
115,112,Nabil Equity Fund,38,12.24,12.08,12.24,107924.00,1308172.04,12.24,0.00,2021-04-01
116,113,Narayani Development Bank Limited,26,555.00,537.00,550.00,2572.00,1402442.00,545.00,5.00,2021-04-01
117,114,National Hydro Power Company Limited,377,166.00,160.00,164.00,227552.00,37169411.00,161.00,3.00,2021-04-01
